,ID,path,row,date,cloud,sunE,sunA,lat,lon,lvl,sensor,monthC,monthN,combine
24,LC81050292014153LGN00,105,29,2014-06-02,0.37,63.10682628,139.90036436,44.60826,145.9699,Level 1T,OLI_TIRS,June,6,105.29.0.37
25,LC81050302014153LGN00,105,30,2014-06-02,0.34,63.98411523,137.30024092,43.18497,145.47239,Level 1T,OLI_TIRS,June,6,105.30.0.34
20,LC81060292014176LGN00,106,29,2014-06-25,1.27,63.63763195,136.50330858,44.60808,144.44026,Level 1T,OLI_TIRS,June,6,106.29.1.27
49,LC81060302013189LGN00,106,30,2013-07-08,5.85,63.64543742,134.80865602,43.18485,143.91981,Level 1T,OLI_TIRS,July,7,106.30.5.85
50,LC81060312013189LGN00,106,31,2013-07-08,0.38,64.42066152,132.03306036,41.75982,143.44096,Level 1T,OLI_TIRS,July,7,106.31.0.38
11,LC81070312014119LGN00,107,31,2014-04-29,0.56,58.2238332,143.23492352,41.75985,141.8601,Level 1T,OLI_TIRS,April,4,107.31.0.56
72,LC81070282013292LGN00,107,28,2013-10-19,0.26,32.75569026,163.35176086,46.02946,143.37616,Level 1T,OLI_TIRS,October,10,107.28.0.26
73,LC81070292013292LGN00,107,29,2013-10-19,2.66,34.02850746,162.59699974,44.6083,142.86012,Level 1T,OLI_TIRS,October,10,107.29.2.66
74,LC81070302013292LGN00,107,30,2013-10-19,2.11,35.29565303,161.83335842,43.18504,142.36375,Level 1T,OLI_TIRS,October,10,107.30.2.11
7,LC81080292014078LGN00,108,29,2014-03-19,10.06,41.32055954,151.9636667,44.60845,141.28573,Level 1T,OLI_TIRS,March,3,108.29.10.06
10,LC81080302014110LGN00,108,30,2014-04-20,3.85,54.40429729,146.80575382,43.18485,140.79722,Level 1T,OLI_TIRS,April,4,108.30.3.85
9,LC81080312014110LGN00,108,31,2014-04-20,1.45,55.42820015,145.08643319,41.75957,140.32014,Level 1T,OLI_TIRS,April,4,108.31.1.45
62,LC81080282013283LGN00,108,28,2013-10-10,0.4,35.90887562,161.9127315,46.02974,141.82729,Level 1T,OLI_TIRS,October,10,108.28.0.4
